,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/29/2021 0:05,11/29/2021 0:05,11/29/2021 0:05,0.3,0,0,9,8,7,0,0,2
11/29/2021 0:10,11/29/2021 0:10,11/29/2021 0:10,0.3,0,0,9,8,7,0,0,2
11/29/2021 0:15,11/29/2021 0:15,11/29/2021 0:15,0.1,0,0,9,7,7,0,0,2
11/29/2021 0:20,11/29/2021 0:21,11/29/2021 0:20,0,0,0,8,6,7,0,0,2
11/29/2021 0:25,11/29/2021 0:26,11/29/2021 0:25,0.1,0,0,8,7,7,0,0,2
11/29/2021 0:30,11/29/2021 0:31,11/29/2021 0:30,0.1,0,0,9,8,7,0,0,2
11/29/2021 0:35,11/29/2021 0:37,11/29/2021 0:35,0.1,0,0,11,9,7,0,0,2
11/29/2021 0:45,11/29/2021 0:42,11/29/2021 0:45,0.1,0,0,9,7,7,0,0,2
11/29/2021 0:50,11/29/2021 0:47,11/29/2021 0:50,0.5,0,0,8,6,7,0,0,2
11/29/2021 0:55,11/29/2021 0:53,11/29/2021 0:55,0.1,0,0,8,6,7,0,0,2
11/29/2021 1:00,11/29/2021 0:58,11/29/2021 1:00,0.1,0,0,8,6,7,0,0,2
11/29/2021 1:05,11/29/2021 1:03,11/29/2021 1:05,0.1,0,0,8,7,7,0,0,2
11/29/2021 1:10,11/29/2021 1:09,11/29/2021 1:10,0.2,0,0,11,8,7,0,0,2
11/29/2021 1:15,11/29/2021 1:14,11/29/2021 1:15,0.6,0,0,11,9,7,0,0,2
11/29/2021 1:20,11/29/2021 1:20,11/29/2021 1:20,0.7,0,0,8,6,7,0,0,2
11/29/2021 1:25,11/29/2021 1:25,11/29/2021 1:25,0.1,0,0,6,5,7,0,0,2
11/29/2021 1:30,11/29/2021 1:30,11/29/2021 1:30,0.2,0,0,6,4,7,0,0,2
11/29/2021 1:35,11/29/2021 1:36,11/29/2021 1:35,0.1,0,0,8,7,7,0,0,2
11/29/2021 1:40,11/29/2021 1:41,11/29/2021 1:40,0.1,0,0,9,8,7,0,0,2
11/29/2021 1:45,11/29/2021 1:46,11/29/2021 1:45,0.1,0,0,9,8,7,0,0,2
11/29/2021 1:50,11/29/2021 1:52,11/29/2021 1:50,0.5,0,0,9,8,7,0,0,2
11/29/2021 2:00,11/29/2021 1:57,11/29/2021 2:00,0.1,0,0,9,7,7,0,0,2
11/29/2021 2:05,11/29/2021 2:02,11/29/2021 2:05,0.1,0,0,9,8,7,0,0,2
11/29/2021 2:10,11/29/2021 2:08,11/29/2021 2:10,0.2,0,0,11,8,7,0,0,2
11/29/2021 2:15,11/29/2021 2:13,11/29/2021 2:15,0.3,0,0,12,8,7,0,0,2
11/29/2021 2:20,11/29/2021 2:18,11/29/2021 2:20,0.1,0,0,9,7,7,0,0,2
11/29/2021 2:25,11/29/2021 2:24,11/29/2021 2:25,0.1,0,0,8,5,7,0,0,2
11/29/2021 2:30,11/29/2021 2:29,11/29/2021 2:30,0.1,0,0,6,3,7,0,0,2
11/29/2021 2:35,11/29/2021 2:35,11/29/2021 2:35,0.1,0,0,8,4,7,0,0,2
11/29/2021 2:40,11/29/2021 2:40,11/29/2021 2:40,0.1,0,0,6,5,7,0,0,2
11/29/2021 2:45,11/29/2021 2:45,11/29/2021 2:45,0.1,0,0,8,6,7,0,0,2
11/29/2021 2:50,11/29/2021 2:51,11/29/2021 2:50,0.1,0,0,6,2,7,0,0,2
11/29/2021 2:55,11/29/2021 2:56,11/29/2021 2:55,0.1,0,0,6,3,7,0,0,2
11/29/2021 3:00,11/29/2021 3:02,11/29/2021 3:00,0.1,0,0,8,7,7,0,0,2
11/29/2021 3:05,11/29/2021 3:07,11/29/2021 3:05,0.1,0,0,9,8,7,0,0,2
11/29/2021 3:15,11/29/2021 3:12,11/29/2021 3:15,0.1,0,0,9,8,7,0,0,2
11/29/2021 3:20,11/29/2021 3:18,11/29/2021 3:20,0.6,0,0,9,6,7,0,0,2
11/29/2021 3:25,11/29/2021 3:23,11/29/2021 3:25,0.1,0,0,9,6,7,0,0,2
11/29/2021 3:30,11/29/2021 3:28,11/29/2021 3:30,0.1,0,0,9,7,7,0,0,2
11/29/2021 3:35,11/29/2021 3:34,11/29/2021 3:35,0.1,0,0,11,9,7,0,0,2
11/29/2021 3:40,11/29/2021 3:39,11/29/2021 3:40,0.2,0,0,12,11,7,0,0,2
11/29/2021 3:45,11/29/2021 3:44,11/29/2021 3:45,2.5,0,0,12,11,7,0,0,2
11/29/2021 3:50,11/29/2021 3:50,11/29/2021 3:50,1.2,0,0,16,12,7,0,0,2
11/29/2021 3:55,11/29/2021 3:55,11/29/2021 3:55,2.5,0,0,14,11,7,0,0,2
11/29/2021 4:00,11/29/2021 4:00,11/29/2021 4:00,182.7,0,0,12,11,7,0,180,2
11/29/2021 4:05,11/29/2021 4:06,11/29/2021 4:05,171.3,0,0,12,9,7,0,170,2
11/29/2021 4:10,11/29/2021 4:11,11/29/2021 4:10,31.8,0,0,9,7,7,0,30,2
11/29/2021 4:15,11/29/2021 4:16,11/29/2021 4:15,145.6,0,0,11,8,7,0,150,2
11/29/2021 4:20,11/29/2021 4:22,11/29/2021 4:20,184,0,0,14,10,7,0,180,2
11/29/2021 4:30,11/29/2021 4:27,11/29/2021 4:30,153.7,0,0,12,11,7,0,150,2
11/29/2021 4:35,11/29/2021 4:33,11/29/2021 4:35,171.3,0,0,12,11,7,0,170,2
11/29/2021 4:40,11/29/2021 4:38,11/29/2021 4:40,178.2,0,0,16,12,7,0,180,2
11/29/2021 4:45,11/29/2021 4:43,11/29/2021 4:45,185.8,90.57,0.1,16,11,7,90,190,2
11/29/2021 4:50,11/29/2021 4:49,11/29/2021 4:50,134.7,0,0.1,14,11,7,0,130,2
11/29/2021 4:55,11/29/2021 4:54,11/29/2021 4:55,167.5,0,0.1,12,10,7,0,170,2
11/29/2021 5:00,11/29/2021 4:59,11/29/2021 5:00,181.1,0,0.1,12,11,7,0,180,2
11/29/2021 5:05,11/29/2021 5:05,11/29/2021 5:05,110,0,0.1,12,10,7,0,110,2
11/29/2021 5:10,11/29/2021 5:10,11/29/2021 5:10,113.8,0,0.1,12,10,7,0,110,2
11/29/2021 5:15,11/29/2021 5:15,11/29/2021 5:15,68.3,0,0.1,11,9,7,0,70,2
11/29/2021 5:20,11/29/2021 5:21,11/29/2021 5:20,70.5,0,0.1,11,10,7,0,70,2
11/29/2021 5:25,11/29/2021 5:26,11/29/2021 5:25,50,0,0.1,11,9,7,0,50,2
11/29/2021 5:30,11/29/2021 5:31,11/29/2021 5:30,24,0,0.1,9,7,7,0,20,2
11/29/2021 5:35,11/29/2021 5:37,11/29/2021 5:35,71,0,0.1,12,9,7,0,70,2
11/29/2021 5:45,11/29/2021 5:42,11/29/2021 5:45,180.8,0,0.1,12,11,7,0,180,2
11/29/2021 5:50,11/29/2021 5:47,11/29/2021 5:50,114.1,0,0.1,14,11,7,0,110,2
11/29/2021 5:55,11/29/2021 5:53,11/29/2021 5:55,178.3,0,0.1,12,11,7,0,180,2
11/29/2021 6:00,11/29/2021 5:58,11/29/2021 6:00,173.3,0,0.1,12,11,7,0,170,2
11/29/2021 6:05,11/29/2021 6:03,11/29/2021 6:05,112,0,0.1,11,9,7,0,110,2
11/29/2021 6:10,11/29/2021 6:09,11/29/2021 6:10,178.7,0,0.1,12,10,7,0,180,2
11/29/2021 6:15,11/29/2021 6:14,11/29/2021 6:15,153.6,0,0.1,14,11,7,0,150,2
11/29/2021 6:20,11/29/2021 6:19,11/29/2021 6:20,184.6,35.99,0.1,12,11,7,40,180,2
11/29/2021 6:25,11/29/2021 6:25,11/29/2021 6:25,183.6,0,0.1,14,10,7,0,180,2
