,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-11-08 00:15:00,2021-11-08 00:13:12,2021-11-08 00:15:00,233.7,341.78,0.7,22,22
2021-11-08 00:20:00,2021-11-08 00:18:35,2021-11-08 00:20:00,247.6,482.82,0.8,28,28
2021-11-08 00:25:00,2021-11-08 00:23:58,2021-11-08 00:25:00,297.5,1073.23,0.8,28,23
2021-11-08 00:30:00,2021-11-08 00:29:21,2021-11-08 00:30:00,204.2,199.09,0.8,24,20
2021-11-08 00:35:00,2021-11-08 00:34:43,2021-11-08 00:35:00,198.1,193.14,0.8,30,22
2021-11-08 00:40:00,2021-11-08 00:40:05,2021-11-08 00:40:00,244.3,476.38,0.9,27,22
2021-11-08 00:45:00,2021-11-08 00:45:28,2021-11-08 00:45:00,210.6,246.4,0.9,25,21
2021-11-08 00:50:00,2021-11-08 00:50:51,2021-11-08 00:50:00,249.6,486.71,0.9,25,21
2021-11-08 00:55:00,2021-11-08 00:56:13,2021-11-08 00:55:00,219.3,256.58,0.9,24,18
2021-11-08 01:00:00,2021-11-08 01:01:35,2021-11-08 01:00:00,202.7,197.63,1,27,20
2021-11-08 01:05:00,2021-11-08 01:06:57,2021-11-08 01:05:00,245.5,478.72,1,24,21
2021-11-08 01:10:00,2021-11-08 01:12:20,2021-11-08 01:10:00,271.5,688.25,1,28,25
2021-11-08 01:20:00,2021-11-08 01:17:43,2021-11-08 01:20:00,268.1,653.49,1.1,33,22
2021-11-08 01:25:00,2021-11-08 01:23:06,2021-11-08 01:25:00,238.2,371.59,1.1,28,24
2021-11-08 01:30:00,2021-11-08 01:28:29,2021-11-08 01:30:00,231.8,339,1.1,32,25
2021-11-08 01:35:00,2021-11-08 01:33:51,2021-11-08 01:35:00,250,487.5,1.2,28,24
2021-11-08 01:40:00,2021-11-08 01:39:13,2021-11-08 01:40:00,195.6,152.56,1.2,28,25
2021-11-08 01:45:00,2021-11-08 01:44:36,2021-11-08 01:45:00,286.6,838.3,1.2,30,23
2021-11-08 01:50:00,2021-11-08 01:49:58,2021-11-08 01:50:00,247.1,481.84,1.3,30,23
2021-11-08 01:55:00,2021-11-08 01:55:21,2021-11-08 01:55:00,215.5,252.13,1.3,27,24
2021-11-08 02:00:00,2021-11-08 02:00:43,2021-11-08 02:00:00,276.7,809.34,1.3,33,24
2021-11-08 02:05:00,2021-11-08 02:06:08,2021-11-08 02:05:00,194.5,151.71,1.4,30,24
2021-11-08 02:10:00,2021-11-08 02:11:31,2021-11-08 02:10:00,198.8,193.83,1.4,27,24
2021-11-08 02:15:00,2021-11-08 02:16:54,2021-11-08 02:15:00,232.5,340.03,1.4,28,24
2021-11-08 02:30:00,2021-11-08 02:27:39,2021-11-08 02:30:00,182.8,35.64,1.5,28,24
