,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-10-19 00:40:00,2021-10-19 00:38:25,2021-10-19 00:40:00,106.6,0,0,11,11
2021-10-19 00:45:00,2021-10-19 00:43:48,2021-10-19 00:45:00,99,0,0,9,9
2021-10-19 00:50:00,2021-10-19 00:49:10,2021-10-19 00:50:00,168.6,0,0,14,12
2021-10-19 00:55:00,2021-10-19 00:54:33,2021-10-19 00:55:00,182.8,0,0,14,12
2021-10-19 01:00:00,2021-10-19 00:59:56,2021-10-19 01:00:00,182.6,17.8,0,14,12
2021-10-19 01:05:00,2021-10-19 01:05:18,2021-10-19 01:05:00,186,90.67,0,12,11
2021-10-19 01:10:00,2021-10-19 01:10:40,2021-10-19 01:10:00,181.3,0,0,14,12
2021-10-19 01:15:00,2021-10-19 01:16:03,2021-10-19 01:15:00,182.2,0,0,14,12
2021-10-19 01:20:00,2021-10-19 01:21:25,2021-10-19 01:20:00,182,0,0,14,12
2021-10-19 01:25:00,2021-10-19 01:26:48,2021-10-19 01:25:00,186.2,90.77,0,12,12
2021-10-19 01:30:00,2021-10-19 01:32:10,2021-10-19 01:30:00,194.3,132.6,0,14,13
2021-10-19 01:40:00,2021-10-19 01:37:33,2021-10-19 01:40:00,183.1,0,0,14,12
2021-10-19 01:45:00,2021-10-19 01:42:55,2021-10-19 01:45:00,162.3,0,0,14,12
2021-10-19 01:50:00,2021-10-19 01:48:18,2021-10-19 01:50:00,168.2,0,0,16,14
2021-10-19 01:55:00,2021-10-19 01:53:32,2021-10-19 01:55:00,147.8,0,0,14,13
2021-10-19 02:00:00,2021-10-19 01:58:46,2021-10-19 02:00:00,185,36.07,0,16,14
2021-10-19 02:05:00,2021-10-19 02:04:08,2021-10-19 02:05:00,185.5,36.17,0,17,14
2021-10-19 02:10:00,2021-10-19 02:09:29,2021-10-19 02:10:00,182.1,0,0,16,14
2021-10-19 02:20:00,2021-10-19 02:20:14,2021-10-19 02:20:00,198.5,154.83,0,14,14
2021-10-19 02:25:00,2021-10-19 02:25:37,2021-10-19 02:25:00,182.2,35.52,0,16,13
2021-10-19 02:30:00,2021-10-19 02:31:00,2021-10-19 02:30:00,184.7,36.01,0,17,14
2021-10-19 02:35:00,2021-10-19 02:36:22,2021-10-19 02:35:00,154.5,0,0,17,14
2021-10-19 02:40:00,2021-10-19 02:41:44,2021-10-19 02:40:00,184.8,36.03,0,16,12
2021-10-19 02:45:00,2021-10-19 02:47:08,2021-10-19 02:45:00,184.8,36.03,0,16,13
2021-10-19 02:50:00,2021-10-19 02:52:30,2021-10-19 02:50:00,184.1,35.89,0,17,14
2021-10-19 03:00:00,2021-10-19 02:57:55,2021-10-19 03:00:00,184.1,89.74,0,17,15
2021-10-19 03:05:00,2021-10-19 03:03:17,2021-10-19 03:05:00,179.8,0,0,17,16
2021-10-19 03:10:00,2021-10-19 03:08:39,2021-10-19 03:10:00,179.3,0,0,17,16
2021-10-19 03:15:00,2021-10-19 03:14:10,2021-10-19 03:15:00,186.8,91.06,0,17,15
2021-10-19 03:20:00,2021-10-19 03:19:32,2021-10-19 03:20:00,162.5,0,0.1,17,15
2021-10-19 03:25:00,2021-10-19 03:24:54,2021-10-19 03:25:00,183.5,35.78,0.1,19,15
2021-10-19 03:30:00,2021-10-19 03:30:15,2021-10-19 03:30:00,181.6,0,0.1,17,14
2021-10-19 03:35:00,2021-10-19 03:35:38,2021-10-19 03:35:00,166.2,0,0.1,17,15
2021-10-19 03:40:00,2021-10-19 03:41:01,2021-10-19 03:40:00,186,36.27,0.1,14,13
2021-10-19 03:50:00,2021-10-19 03:51:46,2021-10-19 03:50:00,185.2,90.28,0.1,16,16
2021-10-19 03:55:00,2021-10-19 03:57:08,2021-10-19 03:55:00,183.3,35.74,0.1,16,16
2021-10-19 04:05:00,2021-10-19 04:02:31,2021-10-19 04:05:00,171.8,0,0.1,19,15
2021-10-19 04:10:00,2021-10-19 04:07:54,2021-10-19 04:10:00,189.2,129.12,0.1,16,15
2021-10-19 04:30:00,2021-10-19 04:29:27,2021-10-19 04:30:00,186.2,90.77,0.1,17,17
2021-10-19 04:35:00,2021-10-19 04:34:50,2021-10-19 04:35:00,193,131.72,0.1,17,15
2021-10-19 04:40:00,2021-10-19 04:40:13,2021-10-19 04:40:00,188.3,91.79,0.1,19,16
2021-10-19 04:45:00,2021-10-19 04:45:35,2021-10-19 04:45:00,191.5,130.69,0.1,17,15
2021-10-19 04:50:00,2021-10-19 04:50:56,2021-10-19 04:50:00,177,0,0.1,17,15
2021-10-19 04:55:00,2021-10-19 04:56:19,2021-10-19 04:55:00,164.1,0,0.1,17,15
2021-10-19 05:00:00,2021-10-19 05:01:42,2021-10-19 05:00:00,183.8,35.84,0.1,17,14
2021-10-19 05:05:00,2021-10-19 05:07:05,2021-10-19 05:05:00,185.3,54.2,0.1,17,14
2021-10-19 05:10:00,2021-10-19 05:12:28,2021-10-19 05:10:00,181.6,0,0.1,17,15
2021-10-19 05:20:00,2021-10-19 05:17:50,2021-10-19 05:20:00,181.8,0,0.1,19,15
2021-10-19 05:25:00,2021-10-19 05:23:12,2021-10-19 05:25:00,180.3,0,0.1,19,15
2021-10-19 05:30:00,2021-10-19 05:28:35,2021-10-19 05:30:00,164.6,0,0.1,17,14
2021-10-19 05:35:00,2021-10-19 05:33:57,2021-10-19 05:35:00,170.7,0,0.1,17,14
2021-10-19 05:40:00,2021-10-19 05:39:20,2021-10-19 05:40:00,174.2,0,0.2,16,14
2021-10-19 05:45:00,2021-10-19 05:44:42,2021-10-19 05:45:00,189.6,129.4,0.2,17,14
2021-10-19 05:50:00,2021-10-19 05:50:04,2021-10-19 05:50:00,183.7,35.82,0.2,16,14
2021-10-19 05:55:00,2021-10-19 05:55:30,2021-10-19 05:55:00,183.7,0,0.2,17,14
2021-10-19 06:05:00,2021-10-19 06:06:15,2021-10-19 06:05:00,182.8,35.64,0.2,14,14
2021-10-19 06:10:00,2021-10-19 06:11:37,2021-10-19 06:10:00,183.8,35.84,0.2,17,14
2021-10-19 06:15:00,2021-10-19 06:16:58,2021-10-19 06:15:00,174.8,0,0.2,22,15
2021-10-19 06:20:00,2021-10-19 06:22:21,2021-10-19 06:20:00,211.6,206.31,0.2,19,16
2021-10-19 06:30:00,2021-10-19 06:27:44,2021-10-19 06:30:00,183.8,17.92,0.2,19,17
2021-10-19 06:35:00,2021-10-19 06:33:08,2021-10-19 06:35:00,189.7,129.47,0.2,19,16
2021-10-19 06:40:00,2021-10-19 06:38:30,2021-10-19 06:40:00,193.5,132.06,0.2,16,15
2021-10-19 06:45:00,2021-10-19 06:43:52,2021-10-19 06:45:00,183.5,35.78,0.2,16,14
2021-10-19 06:50:00,2021-10-19 06:49:14,2021-10-19 06:50:00,185.8,108.69,0.2,19,16
2021-10-19 06:55:00,2021-10-19 06:54:37,2021-10-19 06:55:00,185.5,90.43,0.2,19,15
2021-10-19 07:00:00,2021-10-19 06:59:59,2021-10-19 07:00:00,189,92.13,0.2,19,16
2021-10-19 07:05:00,2021-10-19 07:05:22,2021-10-19 07:05:00,182.6,35.6,0.2,20,18
2021-10-19 07:15:00,2021-10-19 07:16:06,2021-10-19 07:15:00,183.2,35.72,0.2,19,19
2021-10-19 07:20:00,2021-10-19 07:21:29,2021-10-19 07:20:00,183.8,35.84,0.2,22,19
2021-10-19 07:25:00,2021-10-19 07:26:52,2021-10-19 07:25:00,191.6,130.76,0.2,20,18
2021-10-19 07:30:00,2021-10-19 07:32:15,2021-10-19 07:30:00,197.5,192.56,0.3,20,18
2021-10-19 07:50:00,2021-10-19 07:48:21,2021-10-19 07:50:00,192.3,131.24,0.3,16,16
2021-10-19 07:55:00,2021-10-19 07:53:44,2021-10-19 07:55:00,187.7,91.5,0.3,17,15
2021-10-19 08:15:00,2021-10-19 08:15:14,2021-10-19 08:15:00,183.7,35.82,0.3,12,12
2021-10-19 08:20:00,2021-10-19 08:20:41,2021-10-19 08:20:00,181.3,0,0.3,14,12
2021-10-19 08:25:00,2021-10-19 08:26:03,2021-10-19 08:25:00,189.5,129.33,0.3,14,12
2021-10-19 08:30:00,2021-10-19 08:31:25,2021-10-19 08:30:00,182.7,35.62,0.3,16,13
2021-10-19 08:50:00,2021-10-19 08:47:32,2021-10-19 08:50:00,203.3,198.21,0.3,19,15
2021-10-19 08:55:00,2021-10-19 08:52:56,2021-10-19 08:55:00,182.3,0,0.3,19,15
2021-10-19 09:00:00,2021-10-19 08:58:19,2021-10-19 09:00:00,170.1,0,0.3,17,13
2021-10-19 09:05:00,2021-10-19 09:03:43,2021-10-19 09:05:00,181.8,35.45,0.3,17,12
2021-10-19 09:10:00,2021-10-19 09:09:05,2021-10-19 09:10:00,189.6,129.4,0.4,16,13
2021-10-19 09:15:00,2021-10-19 09:14:28,2021-10-19 09:15:00,180,0,0.4,14,12
2021-10-19 09:25:00,2021-10-19 09:25:14,2021-10-19 09:25:00,182.6,0,0.4,8,8
2021-10-19 09:30:00,2021-10-19 09:30:36,2021-10-19 09:30:00,189.3,129.19,0.4,16,12
2021-10-19 09:40:00,2021-10-19 09:38:46,2021-10-19 09:40:00,189.6,92.42,0.4,11,11
2021-10-19 09:45:00,2021-10-19 09:44:07,2021-10-19 09:45:00,140.5,0,0.4,14,12
2021-10-19 09:55:00,2021-10-19 09:54:23,2021-10-19 09:55:00,208.7,203.48,0.4,16,14
2021-10-19 10:00:00,2021-10-19 09:59:40,2021-10-19 10:00:00,189.2,129.12,0.4,12,10
2021-10-19 10:05:00,2021-10-19 10:05:01,2021-10-19 10:05:00,180.8,0,0.4,14,10
2021-10-19 10:10:00,2021-10-19 10:10:22,2021-10-19 10:10:00,183.8,35.84,0.4,20,14
2021-10-19 10:15:00,2021-10-19 10:15:43,2021-10-19 10:15:00,226.7,265.23,0.4,19,16
2021-10-19 10:20:00,2021-10-19 10:21:05,2021-10-19 10:20:00,183.7,35.82,0.4,14,12
2021-10-19 10:25:00,2021-10-19 10:26:26,2021-10-19 10:25:00,186.6,90.96,0.4,12,10
2021-10-19 10:30:00,2021-10-19 10:31:47,2021-10-19 10:30:00,183.2,35.72,0.4,12,12
2021-10-19 10:35:00,2021-10-19 10:37:08,2021-10-19 10:35:00,186,90.67,0.4,14,11
2021-10-19 10:40:00,2021-10-19 10:42:29,2021-10-19 10:40:00,184.3,0,0.4,14,12
2021-10-19 10:50:00,2021-10-19 10:47:54,2021-10-19 10:50:00,184.1,89.74,0.4,14,12
2021-10-19 10:55:00,2021-10-19 10:53:14,2021-10-19 10:55:00,222,259.73,0.4,16,13
2021-10-19 11:00:00,2021-10-19 10:58:35,2021-10-19 11:00:00,183.6,35.8,0.5,14,11
2021-10-19 11:05:00,2021-10-19 11:03:57,2021-10-19 11:05:00,167,0,0.5,17,11
2021-10-19 11:10:00,2021-10-19 11:09:18,2021-10-19 11:10:00,189,128.99,0.5,16,12
2021-10-19 11:15:00,2021-10-19 11:14:39,2021-10-19 11:15:00,123.8,0,0.5,16,12
2021-10-19 11:20:00,2021-10-19 11:20:00,2021-10-19 11:20:00,184.3,35.93,0.5,16,12
2021-10-19 11:25:00,2021-10-19 11:25:21,2021-10-19 11:25:00,137.1,0,0.5,14,9
2021-10-19 11:30:00,2021-10-19 11:30:42,2021-10-19 11:30:00,183.2,0,0.5,16,10
2021-10-19 11:35:00,2021-10-19 11:36:03,2021-10-19 11:35:00,185.3,90.33,0.5,14,11
2021-10-19 11:40:00,2021-10-19 11:41:24,2021-10-19 11:40:00,167.2,0,0.5,17,13
2021-10-19 11:45:00,2021-10-19 11:46:46,2021-10-19 11:45:00,172.2,0,0.5,17,16
2021-10-19 11:50:00,2021-10-19 11:52:09,2021-10-19 11:50:00,174.5,0,0.5,19,14
2021-10-19 12:00:00,2021-10-19 11:57:30,2021-10-19 12:00:00,252.2,418.02,0.5,17,15
2021-10-19 12:05:00,2021-10-19 12:02:51,2021-10-19 12:05:00,212.7,207.38,0.6,17,13
2021-10-19 12:10:00,2021-10-19 12:08:12,2021-10-19 12:10:00,188,91.64,0.6,22,15
2021-10-19 12:15:00,2021-10-19 12:13:33,2021-10-19 12:15:00,177.6,0,0.6,14,12
2021-10-19 12:20:00,2021-10-19 12:18:54,2021-10-19 12:20:00,182,0,0.6,19,18
2021-10-19 12:25:00,2021-10-19 12:24:15,2021-10-19 12:25:00,244.1,356.99,0.6,24,17
2021-10-19 12:30:00,2021-10-19 12:29:57,2021-10-19 12:30:00,233.6,341.64,0.6,22,21
2021-10-19 12:35:00,2021-10-19 12:35:19,2021-10-19 12:35:00,235.1,343.83,0.6,16,14
2021-10-19 12:40:00,2021-10-19 12:40:42,2021-10-19 12:40:00,234.6,343.1,0.7,19,15
2021-10-19 12:45:00,2021-10-19 12:46:07,2021-10-19 12:45:00,209.2,203.96,0.7,17,15
2021-10-19 12:50:00,2021-10-19 12:51:29,2021-10-19 12:50:00,223.3,261.26,0.7,16,13
2021-10-19 12:55:00,2021-10-19 12:56:20,2021-10-19 12:55:00,196.3,133.97,0.7,20,17
2021-10-19 13:10:00,2021-10-19 13:12:22,2021-10-19 13:10:00,182.7,35.62,0.7,11,11
2021-10-19 13:20:00,2021-10-19 13:17:44,2021-10-19 13:20:00,90,0,0.7,20,14
2021-10-19 13:25:00,2021-10-19 13:23:10,2021-10-19 13:25:00,188.1,128.37,0.7,30,22
2021-10-19 13:30:00,2021-10-19 13:27:55,2021-10-19 13:30:00,274.6,589.01,0.8,25,21
2021-10-19 13:35:00,2021-10-19 13:34:58,2021-10-19 13:35:00,317,989.04,0.8,41,30
