,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/23/2021 5:10,11/23/2021 5:12,11/23/2021 5:10,0.2,0,0,9,8,6,0,0,2
11/23/2021 5:20,11/23/2021 5:17,11/23/2021 5:20,0.2,0,0,8,7,6,0,0,2
11/23/2021 5:25,11/23/2021 5:23,11/23/2021 5:25,0.1,0,0,8,7,6,0,0,2
11/23/2021 5:30,11/23/2021 5:28,11/23/2021 5:30,0.1,0,0,8,6,6,0,0,2
11/23/2021 5:35,11/23/2021 5:33,11/23/2021 5:35,0.1,0,0,8,6,6,0,0,2
11/23/2021 5:40,11/23/2021 5:39,11/23/2021 5:40,0.1,0,0,9,7,6,0,0,2
11/23/2021 5:45,11/23/2021 5:44,11/23/2021 5:45,0.1,0,0,9,7,6,0,0,2
11/23/2021 5:50,11/23/2021 5:49,11/23/2021 5:50,0.2,0,0,9,8,6,0,0,2
11/23/2021 5:55,11/23/2021 5:55,11/23/2021 5:55,0.1,0,0,9,7,6,0,0,2
11/23/2021 6:00,11/23/2021 6:00,11/23/2021 6:00,0.1,0,0,8,6,6,0,0,2
11/23/2021 6:05,11/23/2021 6:05,11/23/2021 6:05,0.1,0,0,8,6,6,0,0,2
11/23/2021 6:10,11/23/2021 6:11,11/23/2021 6:10,0.1,0,0,8,6,6,0,0,2
11/23/2021 6:15,11/23/2021 6:16,11/23/2021 6:15,0.1,0,0,8,6,6,0,0,2
11/23/2021 6:20,11/23/2021 6:21,11/23/2021 6:20,0.1,0,0,8,6,6,0,0,2
11/23/2021 6:25,11/23/2021 6:27,11/23/2021 6:25,0.1,0,0,8,7,6,0,0,2
11/23/2021 6:35,11/23/2021 6:32,11/23/2021 6:35,0.1,0,0,14,11,6,0,0,2
11/23/2021 6:40,11/23/2021 6:37,11/23/2021 6:40,1.1,0,0,14,11,6,0,0,2
11/23/2021 6:45,11/23/2021 6:43,11/23/2021 6:45,1.1,0,0,14,12,6,0,0,2
11/23/2021 6:50,11/23/2021 6:48,11/23/2021 6:50,0.6,0,0,12,11,6,0,0,2
11/23/2021 6:55,11/23/2021 6:53,11/23/2021 6:55,1.2,0,0,16,13,6,0,0,2
