,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Curve_Iteration
11/1/2021 0:00,11/1/2021 0:00,11/1/2021 0:00,183.7,35.82,0.1,16,14,2
11/1/2021 0:05,11/1/2021 0:06,11/1/2021 0:05,186.5,90.91,0.1,17,14,2
11/1/2021 0:10,11/1/2021 0:11,11/1/2021 0:10,140.5,0,0.1,22,16,2
11/1/2021 0:15,11/1/2021 0:16,11/1/2021 0:15,186.1,90.72,0.1,19,14,2
11/1/2021 0:20,11/1/2021 0:22,11/1/2021 0:20,150.5,0,0.1,17,13,2
11/1/2021 0:30,11/1/2021 0:27,11/1/2021 0:30,183.7,35.82,0.1,16,13,2
11/1/2021 0:35,11/1/2021 0:33,11/1/2021 0:35,164.5,0,0.1,16,14,2
11/1/2021 0:40,11/1/2021 0:38,11/1/2021 0:40,182.3,0,0.1,16,14,2
11/1/2021 0:45,11/1/2021 0:43,11/1/2021 0:45,183.7,35.82,0.1,17,15,2
11/1/2021 0:50,11/1/2021 0:49,11/1/2021 0:50,186,36.27,0.1,17,14,2
11/1/2021 0:55,11/1/2021 0:54,11/1/2021 0:55,188,91.64,0.1,16,13,2
11/1/2021 1:00,11/1/2021 0:59,11/1/2021 1:00,155,0,0.1,20,15,2
11/1/2021 1:05,11/1/2021 1:05,11/1/2021 1:05,184.6,89.99,0.1,19,14,2
11/1/2021 1:10,11/1/2021 1:10,11/1/2021 1:10,190.3,129.87,0.1,19,15,2
11/1/2021 1:15,11/1/2021 1:15,11/1/2021 1:15,180.5,0,0.1,17,12,2
11/1/2021 1:20,11/1/2021 1:21,11/1/2021 1:20,151,0,0.1,16,12,2
11/1/2021 1:25,11/1/2021 1:26,11/1/2021 1:25,175,0,0.1,16,12,2
11/1/2021 1:30,11/1/2021 1:31,11/1/2021 1:30,182.1,0,0.1,16,12,2
11/1/2021 1:35,11/1/2021 1:37,11/1/2021 1:35,169.1,0,0.1,14,11,2
11/1/2021 1:45,11/1/2021 1:42,11/1/2021 1:45,133.6,0,0.1,16,11,2
11/1/2021 1:50,11/1/2021 1:48,11/1/2021 1:50,184.5,89.94,0.1,12,10,2
11/1/2021 1:55,11/1/2021 1:53,11/1/2021 1:55,142.2,0,0.1,12,11,2
11/1/2021 2:00,11/1/2021 1:58,11/1/2021 2:00,161.6,0,0.1,14,11,2
11/1/2021 2:05,11/1/2021 2:04,11/1/2021 2:05,149,0,0.1,12,11,2
11/1/2021 2:10,11/1/2021 2:09,11/1/2021 2:10,141.3,0,0.1,14,11,2
11/1/2021 2:15,11/1/2021 2:14,11/1/2021 2:15,127,0,0.1,14,12,2
11/1/2021 2:20,11/1/2021 2:20,11/1/2021 2:20,146.6,0,0.1,14,11,2
11/1/2021 2:25,11/1/2021 2:25,11/1/2021 2:25,175.1,0,0.1,14,13,2
11/1/2021 2:30,11/1/2021 2:30,11/1/2021 2:30,184,0,0.1,16,13,2
11/1/2021 2:35,11/1/2021 2:36,11/1/2021 2:35,123.6,0,0.1,16,12,2
11/1/2021 2:40,11/1/2021 2:41,11/1/2021 2:40,161.1,0,0.1,17,13,2
11/1/2021 2:45,11/1/2021 2:47,11/1/2021 2:45,123.7,0,0.1,16,13,2
11/1/2021 2:50,11/1/2021 2:52,11/1/2021 2:50,188.7,91.99,0.1,19,14,2
11/1/2021 3:00,11/1/2021 2:57,11/1/2021 3:00,150.1,0,0.1,17,13,2
11/1/2021 3:05,11/1/2021 3:03,11/1/2021 3:05,182.1,0,0.1,16,13,2
11/1/2021 3:10,11/1/2021 3:08,11/1/2021 3:10,172.6,0,0.1,16,12,2
11/1/2021 3:15,11/1/2021 3:13,11/1/2021 3:15,184.1,17.94,0.1,16,12,2
11/1/2021 3:20,11/1/2021 3:19,11/1/2021 3:20,177.2,0,0.1,16,12,2
11/1/2021 3:25,11/1/2021 3:24,11/1/2021 3:25,183.3,0,0.1,16,12,2
11/1/2021 3:30,11/1/2021 3:29,11/1/2021 3:30,181.1,0,0.1,14,12,2
11/1/2021 3:35,11/1/2021 3:35,11/1/2021 3:35,184.1,35.89,0.1,14,12,2
11/1/2021 3:40,11/1/2021 3:40,11/1/2021 3:40,187.2,109.51,0.1,16,13,2
11/1/2021 3:45,11/1/2021 3:45,11/1/2021 3:45,183.2,35.72,0.1,16,14,2
11/1/2021 3:50,11/1/2021 3:51,11/1/2021 3:50,183.8,0,0.1,17,14,2
11/1/2021 3:55,11/1/2021 3:56,11/1/2021 3:55,167.5,0,0.1,19,16,2
11/1/2021 4:00,11/1/2021 4:02,11/1/2021 4:00,184.2,35.91,0.1,17,14,2
11/1/2021 4:05,11/1/2021 4:07,11/1/2021 4:05,139.3,0,0.1,22,16,2
11/1/2021 4:15,11/1/2021 4:12,11/1/2021 4:15,182.5,0,0.2,19,16,2
11/1/2021 4:20,11/1/2021 4:18,11/1/2021 4:20,188.3,128.51,0.2,19,16,2
11/1/2021 4:25,11/1/2021 4:23,11/1/2021 4:25,172.7,0,0.2,19,16,2
11/1/2021 4:30,11/1/2021 4:28,11/1/2021 4:30,180.5,0,0.2,17,13,2
11/1/2021 4:35,11/1/2021 4:34,11/1/2021 4:35,181.2,0,0.2,19,14,2
11/1/2021 4:40,11/1/2021 4:39,11/1/2021 4:40,167.1,0,0.2,19,15,2
11/1/2021 4:45,11/1/2021 4:44,11/1/2021 4:45,187.2,91.25,0.2,17,15,2
