,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Curve_Iteration
10/25/2021 0:00,10/25/2021 0:00,10/25/2021 0:00,307.1,898.26,0.4,53,32,1
10/25/2021 0:05,10/25/2021 0:05,10/25/2021 0:05,353,1617.62,0.5,49,37,1
10/25/2021 0:10,10/25/2021 0:10,10/25/2021 0:10,327.6,1117.93,0.6,61,47,1
10/25/2021 0:15,10/25/2021 0:16,10/25/2021 0:15,321.6,1097.46,0.8,51,38,1
10/25/2021 0:20,10/25/2021 0:21,10/25/2021 0:20,343.2,1405.4,0.9,59,43,1
10/25/2021 0:25,10/25/2021 0:27,10/25/2021 0:25,284.1,692.49,1,49,35,1
10/25/2021 0:30,10/25/2021 0:32,10/25/2021 0:30,341.3,1397.62,1.1,57,38,1
10/25/2021 0:40,10/25/2021 0:37,10/25/2021 0:40,316.6,987.79,1.2,51,41,1
10/25/2021 0:45,10/25/2021 0:43,10/25/2021 0:45,328.6,1185.42,1.3,48,40,1
10/25/2021 0:50,10/25/2021 0:48,10/25/2021 0:50,311.7,911.72,1.5,51,38,1
10/25/2021 0:55,10/25/2021 0:53,10/25/2021 0:55,286.7,698.83,1.6,51,39,1
10/25/2021 1:00,10/25/2021 0:59,10/25/2021 1:00,382.3,2236.45,1.7,46,35,1
10/25/2021 1:05,10/25/2021 1:04,10/25/2021 1:05,349,1531.23,1.8,38,28,1
10/25/2021 1:10,10/25/2021 1:10,10/25/2021 1:10,354.3,1623.57,1.9,43,30,1
10/25/2021 1:15,10/25/2021 1:15,10/25/2021 1:15,255.1,422.82,2,44,33,1
10/25/2021 1:20,10/25/2021 1:20,10/25/2021 1:20,256.3,424.81,2.1,40,32,1
10/25/2021 1:25,10/25/2021 1:26,10/25/2021 1:25,355.3,1628.16,2.2,46,36,1
10/25/2021 1:30,10/25/2021 1:31,10/25/2021 1:30,208.8,203.58,2.3,43,34,1
