,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Curve_Iteration
10/11/2021 0:05,10/11/2021 0:05,10/11/2021 0:05,188.7,128.78,0.1,28,23,1
10/11/2021 0:10,10/11/2021 0:10,10/11/2021 0:10,181.8,0,0.1,27,21,1
10/11/2021 0:15,10/11/2021 0:15,10/11/2021 0:15,206.2,201.04,0.1,30,23,1
10/11/2021 0:20,10/11/2021 0:21,10/11/2021 0:20,183.6,35.8,0.1,30,22,1
10/11/2021 0:25,10/11/2021 0:26,10/11/2021 0:25,186.8,91.06,0.1,30,24,1
10/11/2021 0:30,10/11/2021 0:32,10/11/2021 0:30,191.5,130.69,0.2,30,24,1
10/11/2021 0:35,10/11/2021 0:37,10/11/2021 0:35,227.7,266.4,0.2,32,25,1
10/11/2021 0:45,10/11/2021 0:42,10/11/2021 0:45,217.1,232.83,0.2,33,26,1
10/11/2021 0:50,10/11/2021 0:48,10/11/2021 0:50,232.1,339.44,0.2,32,24,1
10/11/2021 0:55,10/11/2021 0:53,10/11/2021 0:55,183.2,35.72,0.3,30,23,1
10/11/2021 1:00,10/11/2021 0:58,10/11/2021 1:00,220.1,257.51,0.3,30,24,1
10/11/2021 1:05,10/11/2021 1:04,10/11/2021 1:05,233.3,341.2,0.3,32,25,1
10/11/2021 1:10,10/11/2021 1:09,10/11/2021 1:10,229,267.93,0.3,30,24,1
10/11/2021 1:15,10/11/2021 1:14,10/11/2021 1:15,235.7,344.71,0.3,36,25,1
10/11/2021 1:20,10/11/2021 1:20,10/11/2021 1:20,308,900.9,0.4,35,25,1
10/11/2021 1:25,10/11/2021 1:25,10/11/2021 1:25,197.5,192.56,0.4,36,25,1
10/11/2021 1:30,10/11/2021 1:31,10/11/2021 1:30,182.2,35.52,0.4,30,25,1
10/11/2021 1:35,10/11/2021 1:36,10/11/2021 1:35,234.8,343.39,0.5,33,25,1
10/11/2021 1:40,10/11/2021 1:41,10/11/2021 1:40,216.1,210.69,0.5,32,24,1
10/11/2021 1:45,10/11/2021 1:47,10/11/2021 1:45,211.3,206.01,0.5,35,25,1
10/11/2021 1:55,10/11/2021 1:52,10/11/2021 1:55,189.3,129.19,0.5,33,25,1
10/11/2021 2:00,10/11/2021 1:57,10/11/2021 2:00,199.1,194.12,0.5,33,27,1
10/11/2021 2:05,10/11/2021 2:03,10/11/2021 2:05,184.1,89.74,0.6,35,28,1
10/11/2021 2:10,10/11/2021 2:08,10/11/2021 2:10,245.8,383.44,0.6,36,27,1
